student_id,арифметика,вероятности,геометрия,дроби,интегралы,комбинаторика,логарифмы,матрицы,неравенства,площадь/объём,последовательности,пределы,производные,проценты,тригонометрия,уравнения,функции
1,0.3333333333333333,0.42105263157894735,0.6363636363636364,0.7777777777777778,0.5384615384615384,0.6,0.625,0.9166666666666666,0.6153846153846154,0.4666666666666667,0.4,0.7,0.8181818181818182,0.5,0.35294117647058826,0.6,0.5
2,0.7272727272727273,0.42857142857142855,0.6363636363636364,0.6,0.2222222222222222,0.2222222222222222,0.5,0.3076923076923077,0.3333333333333333,0.3333333333333333,0.45454545454545453,0.5,0.3333333333333333,0.4166666666666667,0.7692307692307693,0.25,0.5714285714285714
3,0.5,0.6923076923076923,0.3333333333333333,0.6875,0.6363636363636364,0.5,0.14285714285714285,0.5384615384615384,0.26666666666666666,0.7142857142857143,0.375,0.7692307692307693,0.5625,0.4444444444444444,0.45454545454545453,0.4666666666666667,0.2857142857142857
4,0.25,0.375,0.36363636363636365,0.6666666666666666,0.4,0.6875,0.6363636363636364,0.2727272727272727,0.4,0.4444444444444444,0.5,1.0,0.3333333333333333,0.5625,0.6363636363636364,0.42857142857142855,0.625
5,0.3,0.2,0.4166666666666667,0.2857142857142857,0.5,0.6666666666666666,0.5333333333333333,0.5,0.5,0.09090909090909091,0.75,0.5882352941176471,0.7272727272727273,0.2727272727272727,0.5454545454545454,0.6428571428571429,0.38461538461538464
6,0.3333333333333333,0.5,0.5833333333333334,0.5625,0.6,0.18181818181818182,0.2857142857142857,0.46153846153846156,0.7272727272727273,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.5,0.8461538461538461,0.2222222222222222,0.42857142857142855,0.35
7,0.6153846153846154,0.5,0.25,0.6363636363636364,0.6,0.875,0.46153846153846156,0.25,0.75,0.4166666666666667,0.7272727272727273,0.5384615384615384,0.3333333333333333,0.7142857142857143,0.5,0.625,0.5
8,0.2857142857142857,0.46153846153846156,0.3333333333333333,0.4,0.25,0.4375,0.8,0.3333333333333333,0.5,0.1,0.46153846153846156,0.6,0.4375,0.36363636363636365,0.6,0.3333333333333333,0.4
9,0.5555555555555556,0.5714285714285714,0.4166666666666667,0.5,0.4444444444444444,0.2857142857142857,0.6363636363636364,0.75,0.5833333333333334,0.5833333333333334,0.8,0.75,0.4,0.4166666666666667,0.4,0.375,0.375
10,0.4117647058823529,0.3333333333333333,0.6,0.2857142857142857,0.4166666666666667,0.5,0.5882352941176471,0.5333333333333333,0.7,0.6,0.5,0.5555555555555556,0.5,0.5714285714285714,0.3076923076923077,0.4,0.46153846153846156
11,0.45454545454545453,0.4444444444444444,0.25,0.5,0.6111111111111112,0.5555555555555556,0.2222222222222222,0.42857142857142855,0.35714285714285715,0.7777777777777778,0.625,0.75,0.5384615384615384,0.4,0.2222222222222222,0.38461538461538464,0.375
12,0.8,0.5,0.625,0.6,0.4444444444444444,0.45454545454545453,0.5714285714285714,0.5384615384615384,0.4666666666666667,0.5,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.42857142857142855,0.7777777777777778,0.4,0.5
13,0.5,0.6,0.4,0.46153846153846156,0.5,0.14285714285714285,0.5,0.14285714285714285,0.4,0.7692307692307693,0.5384615384615384,0.7142857142857143,0.5384615384615384,0.375,0.5,0.25,0.8571428571428571
14,0.4,0.4,0.5,0.8,0.5,0.6153846153846154,0.3333333333333333,0.6666666666666666,0.4,0.5555555555555556,0.5714285714285714,0.42857142857142855,0.5,0.5,0.6,0.4444444444444444,0.2222222222222222
15,0.2857142857142857,0.375,0.375,0.5,0.25,0.6,0.25,0.5555555555555556,0.5,0.6,0.45454545454545453,0.9,0.5,0.7142857142857143,0.5714285714285714,0.6363636363636364,0.6666666666666666
16,0.46153846153846156,0.3333333333333333,0.7,0.7142857142857143,0.7777777777777778,0.6363636363636364,0.5,0.6,0.47058823529411764,0.7,0.875,0.25,0.5454545454545454,0.3333333333333333,0.4444444444444444,0.6,0.7
17,0.2857142857142857,0.8333333333333334,0.6666666666666666,0.5,0.36363636363636365,0.3076923076923077,0.375,0.5555555555555556,0.6666666666666666,0.75,0.5555555555555556,0.42857142857142855,0.6428571428571429,0.45454545454545453,0.5714285714285714,0.6,0.625
18,0.6,0.8,0.7272727272727273,0.4,0.4,0.7142857142857143,0.3333333333333333,0.6666666666666666,0.3,0.6,0.45454545454545453,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.0,0.5454545454545454,0.7777777777777778
19,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.7857142857142857,0.125,0.375,0.5454545454545454,0.5384615384615384,0.4444444444444444,0.46153846153846156,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.5555555555555556,0.42857142857142855
20,0.5,0.2857142857142857,0.2,0.5,0.2857142857142857,0.5454545454545454,0.75,0.5,0.4444444444444444,0.5,0.6666666666666666,0.625,0.4666666666666667,0.25,0.5555555555555556,0.25,0.3333333333333333
21,0.375,0.5,0.8,0.125,0.5714285714285714,1.0,0.16666666666666666,0.4,0.5,0.2727272727272727,0.46153846153846156,0.6,0.4,0.45454545454545453,1.0,0.46153846153846156,1.0
22,0.5,0.36363636363636365,0.5714285714285714,0.29411764705882354,0.5,0.3,0.2857142857142857,0.5,1.0,0.7,0.38461538461538464,0.4,0.5,0.4,0.4666666666666667,0.5,0.5
23,0.8571428571428571,0.5454545454545454,0.4,0.7142857142857143,0.5,0.8333333333333334,0.5,0.7777777777777778,0.45454545454545453,0.2857142857142857,0.6666666666666666,0.5555555555555556,0.6,0.38461538461538464,0.47058823529411764,0.25,0.7142857142857143
24,0.6666666666666666,0.14285714285714285,0.14285714285714285,0.625,0.2857142857142857,0.25,0.6,0.4166666666666667,0.14285714285714285,0.25,0.8,0.5,0.6666666666666666,0.5,0.2857142857142857,0.47058823529411764,0.5384615384615384
25,0.6666666666666666,0.8,0.14285714285714285,0.5,0.4444444444444444,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.7,0.2857142857142857,0.6,0.5,0.46153846153846156,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.5
26,0.42857142857142855,0.42857142857142855,0.8333333333333334,0.625,0.7142857142857143,0.6,0.8888888888888888,0.5,0.26666666666666666,0.5384615384615384,0.6666666666666666,0.375,0.75,0.5555555555555556,0.3333333333333333,0.7272727272727273,0.14285714285714285
27,0.14285714285714285,0.375,0.6363636363636364,0.3333333333333333,0.625,0.6363636363636364,0.42857142857142855,0.7142857142857143,0.6428571428571429,0.6,0.4,0.7777777777777778,0.0,0.6,0.75,0.4,0.5
28,0.18181818181818182,0.42857142857142855,0.25,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.6666666666666666,0.5,0.5,0.5,0.5,0.25,0.5,0.75,0.5454545454545454,0.4444444444444444,0.7
29,0.42857142857142855,0.4166666666666667,0.6666666666666666,0.5454545454545454,0.5,0.6666666666666666,0.5,0.7857142857142857,0.5,0.6666666666666666,0.5,0.8,0.7,0.5714285714285714,0.5,0.6363636363636364,0.2
30,0.4444444444444444,0.5,0.5714285714285714,0.6,0.4444444444444444,0.36363636363636365,0.75,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.2857142857142857,0.5384615384615384,0.5,0.5,0.6666666666666666,0.3333333333333333
